Corral Bluffs megafloral dicot diversity,,,,,,,,,,
DMNH locality,meter,Age,Age_KPg,Count of dicot leaf fossil specimens per locality,Origination,Extinction,Range through,Singleton,Raw richness,Standing diversity
DMNH 3742,150.15,65.069,0.971,15,0,0,6,1,7,6
DMNH 8136,133.26,65.185,0.855,87,0,6,2,0,8,12
DMNH 7132,132.91,65.188,0.852,65,0,3,2,1,6,15
DMNH 8409,132.71,65.189,0.851,588,0,4,8,4,16,19
DMNH 8418,132.68,65.189,0.851,14,0,1,3,0,4,20
DMNH 418,132.62,65.19,0.85,14,0,0,2,0,2,20
DMNH 7134,131.53,65.197,0.843,8,0,1,1,0,2,21
DMNH 7133,124.53,65.246,0.794,9,0,0,3,0,3,21
DMNH 8419,112.41,65.329,0.711,32,0,3,3,0,6,24
DMNH 8426,110.62,65.341,0.699,2,0,0,1,0,1,24
DMNH 7131/DMNH 6348,110.16,65.345,0.695,246,1,5,9,5,20,29
DMNH 8420,110.05,65.345,0.695,34,1,2,5,0,8,30
DMNH 3635,108.52,65.356,0.684,31,1,0,4,0,5,29
DMNH 7126,106.28,65.371,0.669,7,0,0,4,0,4,28
DMNH 6346,94.48,65.453,0.587,15,0,0,3,1,4,28
DMNH 3740,92.99,65.463,0.577,124,0,1,6,2,9,29
DMNH 8423,90.93,65.477,0.563,129,0,4,6,6,16,33
DMNH 3809,90.85,65.478,0.562,58,2,1,6,1,10,34
DMNH 3741,84.65,65.52,0.52,2,0,0,1,0,1,32
DMNH 3854,82.47,65.535,0.505,1,0,0,1,0,1,32
DMNH 8139,80.31,65.55,0.49,3,0,0,2,0,2,32
DMNH 7145,72.29,65.605,0.435,8,1,0,1,0,2,32
DMNH 7146,71.93,65.608,0.432,15,0,1,3,0,4,32
DMNH 8137,69.78,65.623,0.417,8,1,1,2,0,4,33
DMNH 8141,68.95,65.628,0.412,108,0,1,4,2,7,33
DMNH 8414,68.01,65.635,0.405,9,0,0,5,0,5,33
DMNH 3746,65.8,65.65,0.39,26,0,0,7,1,8,33
DMNH 7129,65.45,65.652,0.388,10,1,0,4,0,5,33
DMNH 7127,64.73,65.657,0.383,98,1,0,9,2,12,32
DMNH 8415,64,65.662,0.378,221,0,0,3,1,4,31
DMNH 7130,63.12,65.669,0.371,0,0,0,0,0,0,31
DMNH 8416,62.72,65.671,0.369,4,0,0,2,0,2,31
DMNH 8140,60.43,65.687,0.353,4,0,1,1,0,2,32
DMNH 3745,57.39,65.705,0.335,26,1,0,6,0,7,32
DMNH 8138,57.2,65.706,0.334,65,1,3,5,1,10,34
DMNH 8425,55.19,65.718,0.322,7,0,0,5,0,5,33
DMNH 8411,54.45,65.722,0.318,28,0,0,5,1,6,33
DMNH 8417,53.45,65.728,0.312,9,1,1,1,0,3,34
DMNH 8132,53.43,65.728,0.312,7,0,0,2,0,2,33
DMNH 8421,52.49,65.734,0.306,215,2,4,6,2,14,37
DMNH 8131,50.17,65.747,0.293,78,4,1,9,1,15,36
DMNH 8422,49.25,65.753,0.287,18,1,0,2,1,4,32
DMNH 8424,48.44,65.757,0.283,36,2,0,4,2,8,31
DMNH 3851,46.87,65.767,0.273,2,0,0,0,0,0,29
DMNH 8412,44.88,65.778,0.262,80,2,1,4,1,8,30
DMNH 3744,43.12,65.788,0.252,8,2,0,1,0,3,28
DMNH 7125,42.02,65.795,0.245,0,0,0,0,0,0,26
DMNH 7128,38.4,65.816,0.224,4,1,0,1,0,2,26
DMNH 2132,20,65.923,0.117,331,3,0,6,2,11,25
DMNH 7124,17.18,65.94,0.1,223,4,0,5,4,13,22
DMNH 8134,13.48,65.961,0.079,7,0,1,0,0,1,19
DMNH 7123,12.18,65.969,0.071,4,0,0,1,0,1,19
DMNH 2131,10,65.982,0.058,424,3,0,3,1,7,19
DMNH 8135,2.75,66.024,0.016,30,3,1,3,2,9,17
DMNH 8413,-5,66.078,-0.038,144,0,6,3,8,17,20
DMNH 8410,-10,66.116,-0.076,32,0,2,3,1,6,22
DMNH 3607,-11,66.124,-0.084,20,1,0,5,2,8,22
DMNH 3743,-12.15,66.132,-0.092,238,1,4,5,9,19,25
DMNH 2174,-14,66.147,-0.106,20,2,0,2,1,5,24
DMNH 2133,-15,66.154,-0.114,321,13,1,2,15,31,23
DMNH 4982,-18,66.177,-0.137,2,1,0,0,0,1,10
DMNH 2124,-27.34,66.248,-0.208,99,3,1,2,5,11,10
DMNH 2166,-78,66.48,-0.44,97,3,1,1,7,12,8
DMNH 2165,-79,66.484,-0.444,15,1,0,0,1,2,5
DMNH 2167,-80,66.489,-0.449,146,4,0,0,5,9,4
